Time:2019-07-15 12:00:00,645; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：223 
Time:2019-07-15 12:00:03,692; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：132 
Time:2019-07-15 12:00:04,071; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：223 
Time:2019-07-15 12:00:04,094; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：223 
Time:2019-07-15 12:00:04,096; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：223 
Time:2019-07-15 12:00:05,440; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：130 
Time:2019-07-15 12:00:05,733; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：222 
Time:2019-07-15 12:00:09,144; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：222 
Time:2019-07-15 12:00:09,163; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：222 
Time:2019-07-15 12:00:09,169; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：222 
Time:2019-07-15 12:00:10,809; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：221 
Time:2019-07-15 12:00:11,821; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：131 
Time:2019-07-15 12:00:13,401; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：129 
Time:2019-07-15 12:00:14,254; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：221 
Time:2019-07-15 12:00:14,256; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：221 
Time:2019-07-15 12:00:14,266; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：221 
Time:2019-07-15 12:00:15,880; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：220 
Time:2019-07-15 12:00:19,314; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：220 
Time:2019-07-15 12:00:19,328; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：220 
Time:2019-07-15 12:00:19,331; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：220 
Time:2019-07-15 12:00:19,961; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：130 
Time:2019-07-15 12:00:21,279; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：219 
Time:2019-07-15 12:00:21,287; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：128 
