deviceid,appversion,timestamp,cpuoccupancy
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:33,  0
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:38,  14
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:43,  14
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:48,  17
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:54,  17
810EBM32TZ4K,V1.0.0,2019-07-15 11:53:59,  21
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:04,  19
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:09,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:14,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:19,  40
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:24,  40
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:29,  20
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:34,  81
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:39,  81
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:44,  105
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:50,  105
810EBM32TZ4K,V1.0.0,2019-07-15 11:54:55,  44
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:00,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:05,  32
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:10,  15
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:15,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:20,  11
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:25,  1.9
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:31,  24
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:36,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:41,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:46,  23
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:51,  19
810EBM32TZ4K,V1.0.0,2019-07-15 11:55:56,  19
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:01,  37
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:06,  22
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:11,  22
810EBM32TZ4K,V1.0.0,2019-07-15 11:56:16,  6.8
