deviceid,appversion,timestamp,cpuoccupancy
810EBM32TZ4K,V1.0.0,2019-03-14 17:29:54, +0
810EBM32TZ4K,V1.0.0,2019-03-14 17:29:59,  13
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:04,  13
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:10,  11
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:15,  11
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:20,  11
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:25,  11
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:30,  12
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:35,  17
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:40,  26
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:45,  22
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:50,  22
810EBM32TZ4K,V1.0.0,2019-03-14 17:30:55,  10
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:01,  3.8
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:06,  9.1
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:11,  24
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:16,  5.5
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:21,  5.5
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:26,  11
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:31,  11
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:36,  6.7
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:41,  7
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:46,  3.4
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:51,  9.2
810EBM32TZ4K,V1.0.0,2019-03-14 17:31:57,  9.2
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:02,  4
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:07,  7.1
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:12,  3.3
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:17,  3.3
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:22,  9
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:27,  3.4
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:32,  3.4
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:37,  4.9
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:42,  5.9
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:48,  5.9
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:53,  4.7
810EBM32TZ4K,V1.0.0,2019-03-14 17:32:58,  6.6
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:03,  6.6
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:08,  2.9
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:13,  2.9
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:18,  4.9
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:23,  13
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:28,  5.1
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:33,  5.1
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:38,  5.3
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:44,  5.3
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:49,  5.3
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:54,  5.3
810EBM32TZ4K,V1.0.0,2019-03-14 17:33:59,  0
810EBM32TZ4K,V1.0.0,2019-03-14 17:34:04,  0
